S.No,State/UT,Name,2019,2020,2021,midPopulation,RateofCrimeAgainstChildren,ChargesSheetingRate,Total 2019-2021
1,State,Andhra Pradesh,2524,2648,2669,151.1,17.7,93.2,7841
2,State,Arunachal Pradesh,153,113,162,5.9,27.5,69.6,428
3,State,Assam,6608,4622,5282,120.8,43.7,56,16512
4,State,Bihar,9320,6591,6894,475,14.5,68.9,22805
5,State,Chhattisgarh,5665,5056,6001,97.5,61.6,70.4,16722
6,State,Goa,167,125,151,3.8,39.5,70.9,443
7,State,Gujarat,4685,4075,4515,209.2,21.6,79.2,13275
8,State,Haryana,5119,4338,5700,91.2,62.5,44,15157
9,State,Himachal Pradesh,748,636,740,21.5,34.4,53,2124
10,State,Jharkhand,1674,1795,1867,138.4,13.5,83.7,5336
11,State,Karnataka,6305,5471,7261,193.5,37.5,61.2,19037
12,State,Kerala,4754,3941,4536,94.1,48.2,94.1,13231
13,State,Madhya Pradesh,19028,17008,19173,287.6,66.7,61,55209
14,State,Maharashtra,19592,14371,17261,361.1,47.8,55.8,51224
15,State,Manipur,148,125,143,10.3,13.8,77.9,416
16,State,Meghalaya,379,415,481,13.8,34.9,79.8,1275
17,State,Mizoram,125,142,122,4.2,28.9,91.7,389
18,State,Nagaland,59,31,51,8.2,6.2,80.4,141
19,State,Odisha,7012,6330,7899,144.1,54.8,52.3,21241
20,State,Punjab,2625,2121,2556,87.4,29.2,69,7302
21,State,Rajasthan,7385,6580,7653,281.4,27.2,56.3,21618
22,State,Sikkim,163,147,149,2.1,72.4,78.5,459
23,State,Tamil Nadu,4139,4338,6064,206.6,29.3,91.2,14541
24,State,Telangana,4212,4200,5667,113.8,49.8,75.9,14079
25,State,Tripura,311,260,236,12.3,19.2,84.1,807
26,State,Uttar Pradesh,18943,15271,16838,853.3,19.7,72.5,51052
27,State,Uttarakhand,1214,1066,1245,38,32.8,81.3,3525
28,State,West Bengal,6191,10248,9523,300,31.7,82.1,25962
29,UT,A&N Islands,153,141,124,1.1,110.4,95.2,418
30,UT,Chandigarh,264,209,234,3.2,72.2,32.1,707
31,UT,D&N Haveli and Daman & Diu+,96,67,104,1.9,54.1,51.9,267
32,UT,Delhi,7783,5362,7118,55.4,128.5,32.5,20263
33,UT,Jammu & Kashmir*,470,606,845,49.1,17.2,56.8,1921
34,UT,Ladakh @,-,2,1,0.8,1.2,66.7,3
35,UT,Lakshadweep,26,9,17,0.2,85.4,90.5,52
36,UT,Puducherry,50,71,122,3.6,34,84.3,243
