S.No,Name,Male,Female,Trans,Total,Age,Status
1,Andhra Pradesh,5,10,0,15,<6,Child
2,Arunachal Pradesh,0,0,0,0,<6,Child
3,Assam,3,2,0,5,<6,Child
4,Bihar,6,3,0,9,<6,Child
5,Chhattisgarh,15,5,0,20,<6,Child
6,Goa,0,1,0,1,<6,Child
7,Gujarat,24,26,0,50,<6,Child
8,Haryana,10,8,0,18,<6,Child
9,Himachal Pradesh,1,4,0,5,<6,Child
10,Jharkhand,0,0,0,0,<6,Child
11,Karnataka,19,28,0,47,<6,Child
12,Kerala,18,12,0,30,<6,Child
13,Madhya Pradesh,21,13,0,34,<6,Child
14,Maharashtra,33,30,0,63,<6,Child
15,Manipur,1,0,0,1,<6,Child
16,Meghalaya,0,0,0,0,<6,Child
17,Mizoram,0,0,0,0,<6,Child
18,Nagaland,1,0,0,1,<6,Child
19,Odisha,1,0,0,1,<6,Child
20,Punjab,4,10,0,14,<6,Child
21,Rajasthan,1,5,0,6,<6,Child
22,Sikkim,0,0,0,0,<6,Child
23,Tamil Nadu,14,24,0,38,<6,Child
24,Telangana,12,6,0,18,<6,Child
25,Tripura,2,0,0,2,<6,Child
26,Uttar Pradesh,25,19,0,44,<6,Child
27,Uttarakhand,0,0,0,0,<6,Child
28,West Bengal,5,10,0,15,<6,Child
29,A&N Islands,0,1,0,1,<6,Child
30,Chandigarh,0,0,0,0,<6,Child
31,D&N Haveli and Daman & Diu,0,1,0,1,<6,Child
32,Delhi,3,1,0,4,<6,Child
33,Jammu & Kashmir,2,0,0,2,<6,Child
34,Ladakh,0,0,0,0,<6,Child
35,Lakshadweep,0,1,0,1,<6,Child
36,Puducherry,0,0,0,0,<6,Child
37,Andhra Pradesh,5,7,0,12,<12,Child
38,Arunachal Pradesh,0,1,0,1,<12,Child
39,Assam,3,8,0,11,<12,Child
40,Bihar,18,10,0,28,<12,Child
41,Chhattisgarh,6,5,0,11,<12,Child
42,Goa,0,0,0,0,<12,Child
43,Gujarat,11,5,0,16,<12,Child
44,Haryana,5,5,0,10,<12,Child
45,Himachal Pradesh,0,1,0,1,<12,Child
46,Jharkhand,2,0,0,2,<12,Child
47,Karnataka,17,12,0,29,<12,Child
48,Kerala,6,7,0,13,<12,Child
49,Madhya Pradesh,16,20,0,36,<12,Child
50,Maharashtra,24,14,0,38,<12,Child
51,Manipur,0,0,0,0,<12,Child
52,Meghalaya,0,1,0,1,<12,Child
53,Mizoram,1,0,0,1,<12,Child
54,Nagaland,0,0,0,0,<12,Child
55,Odisha,0,0,0,0,<12,Child
56,Punjab,5,6,0,11,<12,Child
57,Rajasthan,3,4,0,7,<12,Child
58,Sikkim,0,0,0,0,<12,Child
59,Tamil Nadu,9,8,0,17,<12,Child
60,Telangana,6,2,0,8,<12,Child
61,Tripura,1,2,0,3,<12,Child
62,Uttar Pradesh,30,37,0,67,<12,Child
63,Uttarakhand,2,0,0,2,<12,Child
64,West Bengal,7,8,0,15,<12,Child
65,A&N Islands,0,0,0,0,<12,Child
66,Chandigarh,0,1,0,1,<12,Child
67,D&N Haveli and Daman & Diu,0,0,0,0,<12,Child
68,Delhi,5,3,0,8,<12,Child
69,Jammu & Kashmir,1,1,0,2,<12,Child
70,Ladakh,0,0,0,0,<12,Child
71,Lakshadweep,0,0,0,0,<12,Child
72,Puducherry,0,0,0,0,<12,Child
73,Andhra Pradesh,7,0,0,7,<16,Child
74,Arunachal Pradesh,0,0,0,0,<16,Child
75,Assam,2,10,0,12,<16,Child
76,Bihar,27,20,0,47,<16,Child
77,Chhattisgarh,8,2,0,10,<16,Child
78,Goa,0,0,0,0,<16,Child
79,Gujarat,4,4,0,8,<16,Child
80,Haryana,6,5,0,11,<16,Child
81,Himachal Pradesh,1,1,0,2,<16,Child
82,Jharkhand,2,2,0,4,<16,Child
83,Karnataka,7,9,0,16,<16,Child
84,Kerala,1,3,0,4,<16,Child
85,Madhya Pradesh,19,20,0,39,<16,Child
86,Maharashtra,17,13,0,30,<16,Child
87,Manipur,0,0,0,0,<16,Child
88,Meghalaya,0,0,0,0,<16,Child
89,Mizoram,0,0,0,0,<16,Child
90,Nagaland,0,0,0,0,<16,Child
91,Odisha,0,0,0,0,<16,Child
92,Punjab,5,2,0,7,<16,Child
93,Rajasthan,6,2,0,8,<16,Child
94,Sikkim,0,0,0,0,<16,Child
95,Tamil Nadu,3,2,0,5,<16,Child
96,Telangana,3,1,0,4,<16,Child
97,Tripura,0,0,0,0,<16,Child
98,Uttar Pradesh,54,43,0,97,<16,Child
99,Uttarakhand,0,0,0,0,<16,Child
100,West Bengal,8,6,0,14,<16,Child
101,A&N Islands,0,0,0,0,<16,Child
102,Chandigarh,0,0,0,0,<16,Child
103,D&N Haveli and Daman & Diu,0,0,0,0,<16,Child
104,Delhi,5,1,0,6,<16,Child
105,Jammu & Kashmir,2,0,0,2,<16,Child
106,Ladakh,0,0,0,0,<16,Child
107,Lakshadweep,0,0,0,0,<16,Child
108,Puducherry,0,0,0,0,<16,Child
109,Andhra Pradesh,2,2,0,4,<18,Child
110,Arunachal Pradesh,0,0,0,0,<18,Child
111,Assam,4,9,0,13,<18,Child
112,Bihar,15,14,0,29,<18,Child
113,Chhattisgarh,7,8,0,15,<18,Child
114,Goa,0,0,0,0,<18,Child
115,Gujarat,9,3,0,12,<18,Child
116,Haryana,6,2,0,8,<18,Child
117,Himachal Pradesh,0,0,0,0,<18,Child
118,Jharkhand,2,4,0,6,<18,Child
119,Karnataka,9,7,0,16,<18,Child
