S.No,State/UT,Name,2019,2020,2021,midPopulation,RateofViolentCrimes,ChargesSheetingRate,Total Violent Crime
1,State,Andhra Pradesh,7670,6683,7215,528.5,13.7,89.1,21568
2,State,Arunachal Pradesh,678,414,492,15.4,32,57.7,1584
3,State,Assam,28696,25629,26933,351.6,76.6,42.4,81258
4,State,Bihar,45004,51116,43780,1237,35.4,78.1,139900
5,State,Chhattisgarh,7823,8033,8458,296.1,28.6,76,24314
6,State,Goa,415,316,345,15.6,22.1,79,1076
7,State,Gujarat,9453,8337,8327,700.8,11.9,87.3,26117
8,State,Haryana,12812,12128,12828,296,43.3,58.7,37768
9,State,Himachal Pradesh,1833,1817,1762,74.1,23.8,73.1,5412
10,State,Jharkhand,12187,14185,13496,386.4,34.9,80.5,39868
11,State,Karnataka,16445,14616,15277,669.9,22.8,75,46338
12,State,Kerala,12736,10255,8465,355.4,23.8,91.4,31456
13,State,Madhya Pradesh,24972,23287,26038,848.6,30.7,69.8,74297
14,State,Maharashtra,44074,39162,43755,1247.6,35.1,75,126991
15,State,Manipur,673,506,545,31.7,17.2,13.5,1724
16,State,Meghalaya,678,530,580,33,17.6,44.4,1788
17,State,Mizoram,163,161,186,12.2,15.3,78.6,510
18,State,Nagaland,181,123,158,22,7.2,73.3,462
19,State,Odisha,21187,17273,22244,457.9,48.6,69.3,60704
20,State,Punjab,6764,6051,6322,304,20.8,72.2,19137
21,State,Rajasthan,22961,20377,23104,795.7,29,54.7,66442
22,State,Sikkim,188,125,109,6.8,16.1,51.7,422
23,State,Tamil Nadu,10946,10995,12386,764.8,16.2,88.7,34327
24,State,Telangana,8661,8188,9844,377.7,26.1,75.7,26693
25,State,Tripura,2146,1557,1637,40.8,40.1,77.1,5340
26,State,Uttar Pradesh,55519,51983,52502,2317,22.7,76.3,160004
27,State,Uttarakhand,2845,2613,3162,114.4,27.6,69.4,8620
28,State,West Bengal,44560,50029,47904,982.9,48.7,93.3,142493
29,UT,A&N Islands,116,63,88,4,21.9,91.8,267
30,UT,Chandigarh,473,332,362,12.1,29.9,55.1,1167
31,UT,D&N Haveli and Daman & Diu,112,77,109,11.1,9.8,59.3,298
32,UT,Delhi,11613,9997,11793,207,57,52.2,33403
33,UT,Jammu & Kashmir,3100,2821,3072,134.4,22.9,67.2,8993
34,UT,Ladakh,-,6,23,3,7.7,76.9,29
35,UT,Lakshadweep,16,5,5,0.7,7.4,46.2,26
36,UT,Puducherry,146,216,191,15.8,12.1,86.1,553
